class,cost,ctmi,crv_arc,crv_plane,crv_pro,diss_10,diss_20,diss_25,diss_5,diss_a,rough_10,rough_20,rough_25,rough_5,rough_a,slp_d,sp_10,sp_20,sp_25,sp_5,sp_a,dem_m
not,387.1520081,8.5428896,-2.5004101,-1.04805,1.45235,0.396734,0.229616,0.202509,0.407876,0.309184,2.3369501,3.31499,3.7548599,1.81072,2.8043799,10.2750998,-1.13397,-4.4720502,-7.2204599,-0.698547,-3.3812599,588.3759766
not,1060.609985,5.5201702,2.0697701,1.2859401,-0.783831,0.53856,0.599958,0.611768,0.581609,0.582974,2.53125,2.9988699,3.09903,2.0855,2.6786599,13.5125999,2.9071,4.4843798,4.85852,1.86096,3.52774,808.3629761
not,3707.850098,6.3278499,-0.0962999,-0.0750182,0.0212817,0.629658,0.555797,0.521925,0.58651,0.573472,3.7171199,5.0738101,5.5932102,2.64028,4.2561002,17.8202991,1.9426301,2.44714,2.6146901,0.468628,1.86827,864.5750122
not,2171.550049,6.8808799,-0.877851,-0.208298,0.669553,0.516739,0.537052,0.535744,0.490546,0.52002,4.0595598,5.1910501,5.3344898,2.8756299,4.36518,21.8320999,0.671265,3.1032701,3.69122,-0.583252,1.72063,553.6859741
not,187.5039978,6.2817101,-2.2997401,-1.09321,1.20654,0.339088,0.367939,0.350289,0.338622,0.348984,2.1891799,2.9470799,3.1735899,1.65298,2.49071,9.5543404,-3.90344,-7.8584599,-9.6554003,-1.60138,-5.7546701,579.7969971
not,1755.420044,9.0305796,0.418204,0.866637,0.448434,0.470558,0.405846,0.41345,0.478096,0.441987,4.0882702,5.69133,6.42979,3.00104,4.8026099,23.3110008,1.05032,-2.14767,-4.8707299,0.661041,-1.3267601,412.1910095
not,154.4320068,6.45573,2.0487499,1.0512,-0.997551,0.480829,0.568015,0.621604,0.506451,0.544225,3.90956,5.5906501,6.16293,2.6780701,4.5853,18.2635994,-1.9450099,-1.7332799,-0.0183105,-0.784363,-1.12024,568.6550293
not,0,15.3882999,-1.58865,0.696514,2.2851601,0.137877,0.136936,0.138486,0.223405,0.159176,2.12814,3.5406001,3.9858301,1.43357,2.7720399,4.5904799,-5.1646099,-14.0038996,-18.5133991,-2.1264601,-9.9520998,564.0159912
not,1804.729981,8.57584,0.0418204,-0.0438402,-0.0856606,0.600667,0.474992,0.406855,0.500882,0.495849,3.39113,5.3193102,5.8625698,2.2676699,4.2101698,12.7529001,1.29965,4.4565701,3.2321501,0.242096,2.30762,371.4159851
not,1555.800049,7.39362,-0.041745,0.0450705,0.0868155,0.448475,0.34861,0.300198,0.451337,0.387155,4.0432,4.9980402,5.1580701,2.80039,4.2499199,18.3759995,0.111664,-1.30173,-1.28363,-0.189392,-0.665771,475.2850037
not,418.0190125,6.1521702,-0.292743,-0.277038,0.015705,0.405927,0.479563,0.49622,0.603773,0.496371,2.2809999,2.9162099,3.1667199,1.81549,2.5448501,14.3304005,-0.775452,-6.2631202,-6.14117,0.469543,-3.1775501,631.8170166
not,62.1941986,5.6129098,0.417978,1.1997,0.781722,0.205655,0.258272,0.234205,0.189899,0.222007,2.5608599,2.97493,3.20311,1.94243,2.67033,12.5247002,-7.2224698,-11.5663004,-12.9650002,-3.0794101,-8.7082996,552.940979
not,765.9719849,6.7093201,0.526711,0.284294,-0.242417,0.51668,0.430744,0.445584,0.589308,0.495579,2.0097899,3.1703899,3.6556001,1.42853,2.5660801,6.26337,0.53894,0.239746,-0.141235,0.386414,0.255966,867.5999756
not,1140.680054,5.9410701,2.7176099,0.479202,-2.23841,0.877869,0.921496,0.917448,0.791148,0.87699,3.0703001,4.1065302,4.39151,2.31287,3.4703,13.3129997,8.0190096,19.5688992,22.8633003,2.98862,13.3599997,472.2030029
not,527.4530029,8.9911404,-0.125235,-0.07158,0.0536551,0.550086,0.57097,0.625693,0.527574,0.568581,2.2363501,2.77581,3.0647099,1.57884,2.4139299,5.7588902,0.110107,1.2196701,1.82538,0.026001,0.795288,821.9509888
not,1959.300049,6.0241098,-0.0001507,0.089842,0.0899927,0.836205,0.742397,0.76,0.730925,0.767382,2.3894401,3.67363,4.05546,1.4381599,2.8891699,4.1518698,4.02667,11.5620003,14.9025002,0.996338,7.87187,656.8099976
not,123.9850006,9.3247404,-0.543514,-0.470609,0.0729057,0.346239,0.510015,0.534361,0.340993,0.432902,2.02016,2.29514,2.41062,1.48139,2.0518301,5.5020599,-2.99652,-4.2098398,-4.3947802,-0.912292,-3.12836,646.3790283
not,1341.449951,6.58463,0.0084394,0.247636,0.239197,0.580843,0.639719,0.662101,0.456656,0.58483,3.1462901,3.58044,3.7782199,2.32774,3.2081699,13.9638996,0.972717,3.2888801,4.9470201,0.129089,2.33443,584.2310181
not,1561.98999,6.7597098,0.376082,0.301315,-0.0747676,0.51773,0.596154,0.606026,0.477654,0.549391,3.48368,4.2356801,4.1645899,2.5240901,3.60201,15.5516005,0.543335,3.4479401,4.4971299,0.348267,2.2091701,573.5319824
not,2014.880005,6.9603701,-0.108432,-0.0402516,0.0681799,0.692982,0.861099,0.895197,0.561225,0.752626,2.3373599,3.7307999,4.4574099,1.78531,3.0777199,8.0994997,1.57111,8.5996103,14.0514002,0.226135,6.1120601,595.6500244
not,1645.130005,7.5358701,0.367944,-0.0035443,-0.371488,0.691751,0.608321,0.568263,0.631271,0.624902,3.20031,3.90189,4.0851202,2.1096399,3.32424,10.8738003,4.6251798,6.9113798,6.4819899,0.957214,4.7439399,580.6170044
